cluster_id,affiliation_variant,occurrence_count,sources,canonical_key,display_name,fingerprint_key,token_key,suggested_canonical,match_reason,priority,cluster_variant_count,cluster_total_occurrences,canonical_keys_differ,country_suffix_only,needs_review,confirmed_same,approved_canonical
C0580,"Universiti Malaysia Terengganu, Malaysia",4,delegates; delegates_raw,Universiti Malaysia Terengganu,Universiti Malaysia Terengganu,universiti malaysia terengganu,malaysia terengganu universiti,Universiti Malaysia Terengganu,token_key,low,2,34,False,True,True,,
C0222,De La Salle University,31,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,De La Salle University,De La Salle University,de la salle university,de la salle university,De La Salle University,token_key,low,2,33,False,True,True,,
C0222,"De La Salle University, Philippines",2,delegates; delegates_raw,De La Salle University,De La Salle University,de la salle university,de la salle university,De La Salle University,token_key,low,2,33,False,True,True,,
C0301,Ifremer,31,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Ifremer,Ifremer,ifremer,ifremer,Ifremer,token_key,low,2,33,False,True,True,,
C0301,"Ifremer, New Caledonia",2,delegates; delegates_raw,Ifremer,Ifremer,ifremer,ifremer,Ifremer,token_key,low,2,33,False,True,True,,
C0343,Kitasato University,29,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Kitasato University,Kitasato University,kitasato university,kitasato university,Kitasato University,token_key,low,2,33,False,True,True,,
C0343,"Kitasato University, Japan",4,delegates; delegates_raw,Kitasato University,Kitasato University,kitasato university,kitasato university,Kitasato University,token_key,low,2,33,False,True,True,,
C0629,University of New Caledonia,29,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,University of New Caledonia,University of New Caledonia,university of new caledonia,caledonia new university,University of New Caledonia,token_key,low,2,33,False,True,True,,
C0629,"University of New Caledonia, New Caledonia",4,delegates; delegates_raw,University of New Caledonia,University of New Caledonia,university of new caledonia,caledonia new university,University of New Caledonia,token_key,low,2,33,False,True,True,,
C0146,Australian Museum Research Institute,30,delegates; delegates_raw; delegates_sanitized; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Australian Museum Research Institute,Australian Museum Research Institute,australian museum research institute,australian institute museum research,Australian Museum Research Institute,token_key,low,2,32,False,True,True,,
C0146,"Australian Museum Research Institute, Australia",2,delegates; delegates_raw,Australian Museum Research Institute,Australian Museum Research Institute,australian museum research institute,australian institute museum research,Australian Museum Research Institute,token_key,low,2,32,False,True,True,,
C0176,Cefas,28,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,Cefas,Cefas,cefas,cefas,Cefas,token_key,low,2,32,False,True,True,,
C0176,"Cefas, United Kingdom",4,delegates; delegates_raw,Cefas,Cefas,cefas,cefas,Cefas,token_key,low,2,32,False,True,True,,
C0194,College of Charleston,28,delegates; delegates_raw; delegates_sanitized; emissions; geocode_cache; map_locations; speaker_profiles; speaker_profiles_cache; talks,College of Charleston,College of Charleston,college of charleston,charleston college,College of Charleston,token_key,low,2,32,False,True,True,,
