person_key,name_variant,normalized_name,source
icrs-p-00078,Dr Camile Avelino,camile avelino,both
icrs-p-00079,Abbas Baadilla,abbas baadilla,both
icrs-p-00080,Suraj Bacha Gian,suraj bacha gian,both
icrs-p-00081,Dr Vadim Backman,vadim backman,both
icrs-p-00082,Amanda Badai,amanda badai,both
icrs-p-00083,Gina Badlowski,gina badlowski,both
icrs-p-00084,Antoni Badowski,antoni badowski,both
icrs-p-00085,Dr Susanne Bähr,susanne b hr,both
icrs-p-00085,Susanne Baehr,susanne baehr,programme
icrs-p-00086,Kevin Bairos-Novak,kevin bairos novak,programme
icrs-p-00086,Dr Kevin Novak,kevin novak,both
icrs-p-00087,Misbakhul Bait,misbakhul bait,both
icrs-p-00088,Andrew Baker,andrew baker,both
icrs-p-00088,Prof Andrew Baker,andrew baker,both
icrs-p-00089,David Baker,david baker,both
icrs-p-00089,Prof David Baker,david baker,both
icrs-p-00090,Adhithi Balaji,adhithi balaji,both
icrs-p-00091,Alice Ball,alice ball,both
icrs-p-00092,Stephanie Ball,stephanie ball,both
icrs-p-00093,Michelle Ballesteros,michelle ballesteros,both
icrs-p-00094,Marcie Bamber,marcie bamber,both
icrs-p-00095,Brianna Bambic,brianna bambic,both
icrs-p-00096,Tamatoa Bambridge,tamatoa bambridge,both
icrs-p-00097,Somok Banerjee,somok banerjee,both
icrs-p-00098,Raymond Banister,raymond banister,both
icrs-p-00098,Dr Raymond Banister,raymond banister,both
icrs-p-00099,JD Banogon,jd banogon,both
icrs-p-00099,Jhon Dale Banogon,jhon dale banogon,programme
icrs-p-00100,Dr Sarina Bao,sarina bao,both
icrs-p-00100,Sarina Bao,sarina bao,both
icrs-p-00101,Michelle Baptist,michelle baptist,both
icrs-p-00102,Teresa Baptista Nobre,teresa baptista nobre,both
icrs-p-00103,Ethel Baquiran,ethel baquiran,both
icrs-p-00103,Ethel Ruth Baquiran,ethel ruth baquiran,programme
icrs-p-00104,Jake Ivan Baquiran,jake ivan baquiran,programme
icrs-p-00104,Jake Ivan P. Baquiran,jake ivan p baquiran,both
icrs-p-00105,Christine Baran,christine baran,both
icrs-p-00106,Dr Marcos Barbeitos,marcos barbeitos,both
icrs-p-00106,Marcos Barbeitos,marcos barbeitos,both
icrs-p-00107,Maria Vanessa Baria-Rodriguez,maria vanessa baria rodriguez,programme
icrs-p-00107,Dr Van Rodriguez,van rodriguez,both
icrs-p-00108,Leah Barkai,leah barkai,both
icrs-p-00109,Triona Barker,triona barker,both
icrs-p-00110,Danielle Barnas,danielle barnas,both
icrs-p-00110,Danielle M. Barnas,danielle m barnas,programme
