action,left,right,canonical_affiliation,notes
merge,"Rosenstiel School of Marine, Atmospheric and Earth Science","Rosenstiel School of Marine, Atmospheric, and Earth, United States","Rosenstiel School of Marine, Atmospheric, and Earth, United States",Programme-only variant without country
merge,"University of Maryland Center for Environmental Sciences- Institute of Marine and Environmental Technology, United States","University of Maryland, United States","University of Maryland, United States",UMCES-IMET shares UMD College Park campus
